"asset1","<ruby>心臓<rt>しんぞう</rt></ruby>","(4,7,8,13)"
"asset2","<ruby>肺<rt>はい</rt></ruby>","(1,3,10)"
"asset3","<ruby>胃<rt>い</rt></ruby>","(22)"
"asset4","<ruby>小腸<rt>しょうちょう</rt></ruby>","(2)"
"asset5","<ruby>大腸<rt>だいちょう</rt></ruby>","(11)"
"asset6","<ruby>肝臓<rt>かんぞう</rt></ruby>","(19)"
"asset7","<ruby>膵臓<rt>すいぞう</rt></ruby>","(21)"
"asset8","<ruby>腎臓<rt>じんぞう</rt></ruby>","(15,20)"
"asset9","<ruby>脾臓<rt>ひぞう</rt></ruby>","(19)"
"asseta","<ruby>人体<rt>じんたい1</rt></ruby>","(1-22)"
"assetb","<ruby>人体(肺を除く)<rt>じんたい2</rt></ruby>","(1-22)1,5,10を除く"
"assetc","<ruby>食道<rt>しょくどう</rt></ruby>","(12)"
"assetd","<ruby>胆嚢<rt>たんのう</rt></ruby>","(16,17)"
